State-wise-report July,,,,
Sr.No.,State Name,Project Count,Original (Revised),Expenditure
,,(in no.),Cost (in cr.),Cost (in cr.)
,Punjab,56,90524.59 (97124.01),48544.54
,Uttarakhand,51,73824.5 (83906.8),52477.24
,Jammu & Kashmir,50,61860.01 (68087.56),32966.1
,Haryana,42,166649.08 (246619.49),189761.75
,Manipur,36,42345.22 (51574.84),37353.36
,Himachal Pradesh,34,45627.3 (55947.21),25641.19
,Kerala,33,75934.16 (88105.38),32060.72
,Mizoram,26,29668.37 (31401.6),15225.68
,Nagaland,26,30182.31 (32325.03),20517.04
,Arunachal Pradesh,25,89510.4 (113511.64),49441.08
,Delhi,24,124061.9 (128955.94),60482.4
,Meghalaya,19,31809.67 (32406.69),15755.49
,Sikkim,17,33314.72 (42915.98),33457.38
,Tripura,13,21323.04 (22858.42),13713.62
,Goa,9,10428.48 (10582.49),6890.31
,Puducherry,6,8358.94 (8576.63),4070.73
,Ladakh,5,1989.27 (2149.27),1470.74
,Andaman & Nicobar,4,863.85 (1311.48),37.35
,Dadra & Nagar Haveli and Daman & Diu,3,110107.8 (110891.81),91712.36
State-wise-report April,,,,
,Maharashtra,213,542567.88 (667045.23),431680.03
,Uttar Pradesh,182,401452.12 (476742.08),266899.6
,Andhra Pradesh,142,218753.69 (271824.5),146693.06
,Bihar,133,257120.33 (267926.01),105218.06
,Madhya Pradesh,125,309604.06 (322477.61),124125.98
,Karnataka,123,222193.94 (241138.68),113040.36
,Gujarat,123,425591.21 (527736.01),388320.33
,Odisha,113,223598.41 (239874.32),125308.58
,Jharkhand,105,201577.27 (212549.1),87527.84
,Telangana,91,87533.63 (107153.24),52339.46
,Assam,90,122133.56 (158231.93),102650.67
,West Bengal,82,147446.81 (161399.17),79608.82
,Rajasthan,81,255480.73 (366995.47),272004.83
,Chhattisgarh,78,145258.09 (156041.9),66976.2
,Tamil Nadu,70,177373.73 (187518.08),71112.04
,Punjab,56,90524.59 (97124.01),47644.83
,Uttarakhand,51,73824.5 (83906.8),51788.57
,Jammu & Kashmir,47,60382.03 (66609.58),31898.6
,Haryana,42,166649.08 (246619.49),188087
,Manipur,36,42345.22 (51574.84),37075.91
,Himachal Pradesh,34,45627.3 (55947.21),25144.55
,Kerala,33,75934.16 (88105.38),31194.14
,Arunachal Pradesh,25,89510.4 (114490.51),49213.84
,Mizoram,25,29497.41 (31230.64),15194.92
,Nagaland,25,29857.31 (32000.03),20074.39
,Delhi,24,124061.9 (128955.94),58781.19
,Meghalaya,18,31620.67 (33009.19),15612.23
,Sikkim,17,33314.72 (42915.98),33117.78
,Tripura,13,21323.04 (22858.42),13645.42
,Goa,8,9681.73 (9835.74),6860.9
,Puducherry,6,8358.94 (8576.63),4021.18
,Dadra & Nagar Haveli and Daman & Diu,5,114864.06 (115648.07),95774.45
,Andaman & Nicobar,4,863.85 (1291.36),0
,Ladakh,4,1664.27 (1824.27),1326.9
State-wise-report March,,,,
,Maharashtra,212,542172.58 (666446.46),428925.08
,Uttar Pradesh,177,396749.25 (472008.46),262117.33
,Andhra Pradesh,138,211024.61 (264097.7),143210.64
,Bihar,129,246061.51 (256634.85),102049.23
,Madhya Pradesh,123,307764.77 (318694.68),121098.26
,Gujarat,122,421445.52 (523895.4),383975.92
,Karnataka,118,197250.72 (216195.46),109559.32
,Odisha,108,209629.14 (225905.05),122551.83
,Jharkhand,104,201981.94 (212953.77),86550.63
,Telangana,89,85852 (105464.41),51531.67
,Assam,88,120333.35 (156431.72),100535.52
,West Bengal,84,150362.19 (164314.55),79175.37
,Rajasthan,81,250081.55 (361596.29),267985.62
,Chhattisgarh,78,145258.09 (155650.93),65870.18
,Tamil Nadu,70,176925.25 (185610.61),68652.31
,Punjab,53,86902.9 (93488.75),44058.79
,Uttarakhand,51,73824.5 (83851.77),51397.53
,Jammu & Kashmir,47,60382.03 (66609.58),31106.24
,Haryana,43,166862.27 (246832.68),186922.28
,Manipur,36,42345.22 (51574.84),36934.81
,Kerala,32,72129.16 (83910.38),29787.27
,Himachal Pradesh,32,42738.35 (53032.35),22247.89
,Mizoram,25,29497.41 (31230.64),15053.26
,Nagaland,25,29857.31 (32000.03),19738.13
,Delhi,23,123354.9 (128248.94),57607.13
,Arunachal Pradesh,22,66941.63 (91921.74),48506.43
,Sikkim,17,33314.72 (42915.98),32720.04
,Meghalaya,16,21991.77 (23362.29),13943.25
,Tripura,13,21323.04 (22858.42),13214.17
,Goa,7,7789.73 (7943.74),6800.9
,Puducherry,6,8358.94 (8576.63),3952.36
,Dadra & Nagar Haveli and Daman & Diu,5,114864.06 (115648.07),95662.59
,Andaman & Nicobar,4,863.85 (1291.36),0
,Ladakh,4,1664.27 (1824.27),1326.9
State-wise-report Feb,,,,
,Maharashtra,215,545731.48 (670461.98),424126.28
,Uttar Pradesh,180,429013.4 (504586.99),286639.37
,Andhra Pradesh,141,207321 (260802.22),135941.47
,Gujarat,127,429276.67 (531759.28),383145.07
,Bihar,125,240033.81 (249863.59),96430.33
,Madhya Pradesh,125,311491.93 (324070.84),120464
,Karnataka,121,201206.49 (221539.6),106628.39
,Odisha,108,209683.81 (226185.72),117770.33
,Jharkhand,103,200605.38 (211472.19),84515.18
,Assam,89,120747.03 (156799.83),98670.14
,Telangana,88,85474.18 (105123.11),47566.19
,West Bengal,86,151520.45 (165472.81),78190.43
,Rajasthan,81,250247.95 (361726.93),264451.69
,Chhattisgarh,79,145607.84 (156000.68),63138.07
,Tamil Nadu,70,176320.25 (182712.87),63410.1
,Punjab,54,88428.21 (95425.29),45296.37
,Jammu & Kashmir,49,62939.64 (69316.15),30884.54
,Uttarakhand,48,76978.62 (91601.92),56935.86
,Haryana,44,167232.27 (247202.68),185792.8
,Manipur,34,41306.42 (50536.04),35718.08
,Himachal Pradesh,33,45165.7 (55291.16),22437.9
,Kerala,31,70697.16 (80124.93),26185.09
,Mizoram,25,29497.41 (31230.64),14822.93
,Nagaland,25,29857.31 (32000.03),19497.61
,Delhi,24,153628.9 (158522.94),81628.2
,Arunachal Pradesh,22,66941.63 (91921.74),47744.71
,Sikkim,17,33314.72 (42915.98),32007.15
,Meghalaya,15,21497.25 (22932.59),13294.61
,Tripura,13,21323.04 (22858.42),13038.77
,Goa,7,7789.73 (7943.74),6782.69
,Puducherry,6,8358.94 (8576.63),3736.95
,Dadra & Nagar Haveli and Daman & Diu,5,114864.06 (115648.07),92998.89
,Andaman & Nicobar,4,863.85 (1291.36),0
,Ladakh,4,1602.79 (1727.03),1276.19
